step,time_seconds,total_vehicles,north_queue,south_queue,east_queue,west_queue,north_speed,south_speed,east_speed,west_speed,north_wait,south_wait,east_wait,west_wait,north_vehicles,south_vehicles,east_vehicles,west_vehicles,avg_speed_kmh,avg_waiting_time,max_waiting_time,halting_count,cars,trucks,buses,motorcycles,emergency_vehicles,emergency_detected,emergency_direction,emergency_direction_name,emergency_priority,emergency_distance,emergency_vehicle_id,emergency_type,north_congestion,south_congestion,east_congestion,west_congestion
25,25,36,33,3,0,0,25.711572339614108,43.543995131489964,0,0,0.9090909090909091,0.0,0,0,33,3,0,0,27.197607572270428,0.8333333333333334,8.0,7,25,3,4,4,0,0,0,none,0,999.0,,,42,12,20,20
26,26,39,36,3,0,0,23.457089688806505,44.53573677779075,0,0,1.0,0.0,0,0,36,3,0,0,25.07852408026683,0.9230769230769231,9.0,9,28,3,4,4,0,0,0,none,0,999.0,,,46,12,20,20
27,27,39,35,4,0,0,23.61092409371166,46.25201750242914,0,0,1.2571428571428571,0.0,0,0,35,4,0,0,25.933087520246794,1.1282051282051282,10.0,8,28,3,4,4,0,0,0,none,0,999.0,,,45,11,20,20
28,28,40,35,5,0,0,23.896651139164092,40.90304037525725,0,0,1.542857142857143,0.0,0,0,35,5,0,0,26.022449793675737,1.35,11.0,11,29,3,4,4,0,0,0,none,0,999.0,,,45,15,20,20
29,29,44,39,5,0,0,22.462913833609285,42.46719476980657,0,0,1.6666666666666667,0.0,0,0,39,5,0,0,24.736127576358978,1.4772727272727273,12.0,15,33,3,4,4,0,0,0,none,0,999.0,,,48,14,20,20
30,30,45,40,5,0,0,23.796892304226873,44.83617265972715,0,0,1.925,0.0,0,0,40,5,0,0,26.13459012150468,1.711111111111111,13.0,13,34,3,4,4,0,0,0,none,0,999.0,,,48,13,20,20
31,31,45,40,5,0,0,25.381868803416616,46.543088806496705,0,0,2.225,0.0,0,0,40,5,0,0,27.733115470425528,1.9777777777777779,14.0,12,34,3,4,4,0,0,0,none,0,999.0,,,47,11,20,20
32,32,48,43,5,0,0,24.344659408678112,47.740705513471504,0,0,2.3488372093023258,0.0,0,0,43,5,0,0,26.781747544594094,2.1041666666666665,15.0,15,37,3,4,4,0,0,0,none,0,999.0,,,50,11,20,20
33,33,49,43,6,0,0,24.87842464151737,46.040156355563056,0,0,2.627906976744186,0.0,0,0,43,6,0,0,27.469657096298477,2.306122448979592,16.0,13,38,3,4,4,0,0,0,none,0,999.0,,,49,12,20,20
34,34,49,43,6,0,0,25.432847484326654,46.55968687639801,0,0,2.9069767441860463,0.0,0,0,43,6,0,0,28.0198074098864,2.5510204081632653,17.0,12,38,3,4,4,0,0,0,none,0,999.0,,,49,12,20,20
35,35,51,46,5,0,0,24.61568995578864,47.45902794567513,0,0,3.0,0.0,0,0,46,5,0,0,26.855232895973586,2.7058823529411766,18.0,16,40,3,4,4,0,0,0,none,0,999.0,,,51,11,20,20
36,36,52,47,5,0,0,23.803883648770256,47.03038013031072,0,0,3.276595744680851,0.0,0,0,47,5,0,0,26.037200618149146,2.9615384615384617,19.0,18,41,3,4,4,0,0,0,none,0,999.0,,,53,11,20,20
37,37,51,47,4,0,0,23.243520232141133,48.18963398799626,0,0,3.574468085106383,0.0,0,0,47,4,0,0,25.20007817377683,3.2941176470588234,20.0,16,39,3,4,5,0,0,0,none,0,999.0,,,53,10,20,20
38,38,53,49,4,0,0,22.27584573899007,47.95341203070107,0,0,3.7346938775510203,0.0,0,0,49,4,0,0,24.21377527043996,3.452830188679245,21.0,17,41,3,4,5,0,0,0,none,0,999.0,,,55,10,20,20
39,39,55,50,5,0,0,21.18241670176126,47.92578516946416,0,0,4.0,0.0,0,0,50,5,0,0,23.613632017006974,3.6363636363636362,22.0,19,43,3,4,5,0,0,0,none,0,999.0,,,56,11,20,20
40,40,56,51,5,0,0,20.9154840559286,47.26548974827547,0,0,4.313725490196078,0.0,0,0,51,5,0,0,23.26816313560243,3.9285714285714284,23.0,21,43,3,4,6,0,0,0,none,0,999.0,,,57,11,20,20
41,41,55,50,5,0,0,20.558637865883824,43.121906956771376,0,0,4.06,0.0,0,0,50,5,0,0,22.609844146873606,3.690909090909091,24.0,18,42,3,4,6,0,0,0,none,0,999.0,,,57,14,20,20
42,42,55,51,4,0,0,20.343925656912983,43.04485987468247,0,0,4.313725490196078,0.0,0,0,51,4,0,0,21.99490269093258,4.0,25.0,18,43,3,4,5,0,0,0,none,0,999.0,,,57,13,20,20
43,43,57,53,4,0,0,19.721564335264702,43.62703410425431,0,0,4.509433962264151,0.0,0,0,53,4,0,0,21.39914116115871,4.192982456140351,26.0,21,45,3,4,5,0,0,0,none,0,999.0,,,57,13,20,20
44,44,60,56,4,0,0,19.1531905191153,47.16907324510135,0,0,4.625,0.0,0,0,56,4,0,0,21.020916034181035,4.316666666666666,27.0,23,46,4,4,6,0,0,0,none,0,999.0,,,58,10,20,20
45,45,60,56,4,0,0,20.288503519648067,46.80533046788583,0,0,2.1964285714285716,0.0,0,0,56,4,0,0,22.056291982863918,2.05,24.0,12,46,4,4,6,0,0,0,none,0,999.0,,,57,11,20,20
46,46,60,57,3,0,0,21.359354761961484,46.51559630158699,0,0,1.1228070175438596,0.0,0,0,57,3,0,0,22.617166838942758,1.0666666666666667,19.0,11,47,4,3,6,0,0,0,none,0,999.0,,,56,10,20,20
